split,class,dataset,image_count
test,apple healthy,plantdoc,9
test,apple rust,plantdoc,10
test,apple scab,plantdoc,10
test,blueberry healthy,plantdoc,11
test,cherry healthy,plantdoc,10
test,corn leaf blight,plantdoc,12
test,corn maize cercospora spot gray spot,plantdoc,4
test,corn maize common rust,plantdoc,10
test,grape black rot,plantdoc,8
test,grape healthy,plantdoc,12
test,peach healthy,plantdoc,9
test,pepper bell bacterial spot,plantdoc,9
test,pepper bell healthy,plantdoc,8
test,potato early blight,plantdoc,8
test,potato late blight,plantdoc,8
test,raspberry healthy,plantdoc,7
test,soybean healthy,plantdoc,8
test,squash powdery mildew,plantdoc,6
test,strawberry healthy,plantdoc,8
test,tomato bacterial spot,plantdoc,9
test,tomato early blight,plantdoc,9
test,tomato healthy,plantdoc,8
test,tomato late blight,plantdoc,10
test,tomato mold,plantdoc,6
test,tomato mosaic virus,plantdoc,10
test,tomato septoria spot,plantdoc,11
test,tomato yellow curl virus,plantdoc,6
train,apple healthy,plantdoc,69
train,apple healthy,plantvillage,1312
train,apple rust,plantdoc,64
train,apple rust,plantvillage,219
train,apple scab,plantdoc,61
train,apple scab,plantvillage,505
train,blueberry healthy,plantdoc,85
train,blueberry healthy,plantvillage,1201
train,cherry healthy,plantdoc,38
train,cherry healthy,plantvillage,683
train,corn leaf blight,plantdoc,143
train,corn leaf blight,plantvillage,789
train,corn maize cercospora spot gray spot,plantdoc,51
train,corn maize cercospora spot gray spot,plantvillage,411
train,corn maize common rust,plantdoc,82
train,corn maize common rust,plantvillage,956
train,grape black rot,plantdoc,47
train,grape black rot,plantvillage,942
train,grape healthy,plantdoc,47
train,grape healthy,plantvillage,337
train,peach healthy,plantdoc,73
train,peach healthy,plantvillage,297
train,pepper bell bacterial spot,plantdoc,53
train,pepper bell bacterial spot,plantvillage,794
train,pepper bell healthy,plantdoc,38
train,pepper bell healthy,plantvillage,1187
train,potato early blight,plantdoc,91
train,potato early blight,plantvillage,796
train,potato late blight,plantdoc,73
train,potato late blight,plantvillage,805
train,raspberry healthy,plantdoc,89
train,raspberry healthy,plantvillage,295
train,soybean healthy,plantdoc,48
train,soybean healthy,plantvillage,4069
train,squash powdery mildew,plantdoc,92
train,squash powdery mildew,plantvillage,1474
train,strawberry healthy,plantdoc,67
train,strawberry healthy,plantvillage,368
train,tomato bacterial spot,plantdoc,78
train,tomato bacterial spot,plantvillage,1702
train,tomato early blight,plantdoc,56
train,tomato early blight,plantvillage,803
train,tomato healthy,plantdoc,42
train,tomato healthy,plantvillage,1274
train,tomato late blight,plantdoc,86
train,tomato late blight,plantvillage,1522
train,tomato mold,plantdoc,66
train,tomato mold,plantvillage,764
train,tomato mosaic virus,plantdoc,37
train,tomato mosaic virus,plantvillage,297
train,tomato septoria spot,plantdoc,109
train,tomato septoria spot,plantvillage,1417
train,tomato yellow curl virus,plantdoc,57
train,tomato yellow curl virus,plantvillage,4284
val,apple healthy,plantdoc,13
val,apple healthy,plantvillage,333
val,apple rust,plantdoc,15
val,apple rust,plantvillage,56
val,apple scab,plantdoc,16
val,apple scab,plantvillage,125
val,blueberry healthy,plantdoc,20
val,blueberry healthy,plantvillage,301
val,cherry healthy,plantdoc,9
val,cherry healthy,plantvillage,171
val,corn leaf blight,plantdoc,37
val,corn leaf blight,plantvillage,196
val,corn maize cercospora spot gray spot,plantdoc,13
val,corn maize cercospora spot gray spot,plantvillage,102
val,corn maize common rust,plantdoc,24
val,corn maize common rust,plantvillage,236
val,grape black rot,plantdoc,9
val,grape black rot,plantvillage,238
val,grape healthy,plantdoc,10
val,grape healthy,plantvillage,86
val,peach healthy,plantdoc,30
val,peach healthy,plantvillage,63
val,pepper bell bacterial spot,plantdoc,9
val,pepper bell bacterial spot,plantvillage,203
val,pepper bell healthy,plantdoc,15
val,pepper bell healthy,plantvillage,291
val,potato early blight,plantdoc,18
val,potato early blight,plantvillage,204
val,potato late blight,plantdoc,24
val,potato late blight,plantvillage,195
val,raspberry healthy,plantdoc,20
val,raspberry healthy,plantvillage,76
val,soybean healthy,plantdoc,9
val,soybean healthy,plantvillage,1021
val,squash powdery mildew,plantdoc,31
val,squash powdery mildew,plantvillage,361
val,strawberry healthy,plantdoc,21
val,strawberry healthy,plantvillage,88
val,tomato bacterial spot,plantdoc,20
val,tomato bacterial spot,plantvillage,425
val,tomato early blight,plantdoc,18
val,tomato early blight,plantvillage,197
val,tomato healthy,plantdoc,12
val,tomato healthy,plantvillage,317
val,tomato late blight,plantdoc,15
val,tomato late blight,plantvillage,387
val,tomato mold,plantdoc,19
val,tomato mold,plantvillage,188
val,tomato mosaic virus,plantdoc,7
val,tomato mosaic virus,plantvillage,76
val,tomato septoria spot,plantdoc,28
val,tomato septoria spot,plantvillage,354
val,tomato yellow curl virus,plantdoc,12
val,tomato yellow curl virus,plantvillage,1073
,,,39418
